Accession	ID	Name	TFs	EnsemblID
M00912	CEBP_Q2_01	C/EBP	CEBPA;CEBPB;CEBPD;CEBPE;CEBPG	ENSG00000245848;ENSG00000172216;ENSG00000221869;ENSG00000092067;ENSG00000153879
M00913	MYB_Q5_01	MYB	MYB;MYBL2	ENSG00000118513;ENSG00000101057
M00915	AP2_Q6_01	AP-2	TFAP2A;TFAP2B;TFAP2C	ENSG00000137203;ENSG00000008196;ENSG00000087510
M00916	CREB_Q2_01	CREB	CREB1;CREM	ENSG00000118260;ENSG00000095794
M00917	CREB_Q4_01	CREB	CREB1;CREM	ENSG00000118260;ENSG00000095794
M00918	E2F_Q3_01	E2F	E2F1;E2F2;E2F3;E2F4;TFDP1	ENSG00000101412;ENSG00000007968;ENSG00000112242;ENSG00000205250;ENSG00000198176
M00919	E2F_Q4_01	E2F	E2F1;E2F2;E2F3;E2F4;TFDP1	ENSG00000101412;ENSG00000007968;ENSG00000112242;ENSG00000205250;ENSG00000198176
M00920	E2F_Q6_01	E2F	E2F1;E2F2;E2F3;E2F4;E2F7;TFDP1	ENSG00000101412;ENSG00000007968;ENSG00000112242;ENSG00000205250;ENSG00000165891;ENSG00000198176
M00921	GR_Q6_01	GR	NR3C1	ENSG00000113580
M00922	SRF_Q5_01	SRF	SRF	ENSG00000112658
M00924	AP1_Q2_01	AP-1	FOS;FOSB;FOSL1;FOSL2;JUN;JUNB;JUND	ENSG00000170345;ENSG00000125740;ENSG00000175592;ENSG00000075426;ENSG00000177606;ENSG00000171223;ENSG00000130522
M00925	AP1_Q6_01	AP-1	FOS;FOSB;FOSL1;FOSL2;JUN;JUNB;JUND	ENSG00000170345;ENSG00000125740;ENSG00000175592;ENSG00000075426;ENSG00000177606;ENSG00000171223;ENSG00000130522
M00926	AP1_Q4_01	AP-1	FOS;FOSB;FOSL1;FOSL2;JUN;JUNB;JUND	ENSG00000170345;ENSG00000125740;ENSG00000175592;ENSG00000075426;ENSG00000177606;ENSG00000171223;ENSG00000130522
M00927	AP4_Q6_01	AP-4	TFAP4	ENSG00000090447
M00929	MYOD_Q6_01	MyoD	MYF6;MYOD1;MYOG;TCF3	ENSG00000111046;ENSG00000129152;ENSG00000122180;ENSG00000071564
M00930	OCT1_Q5_01	Oct-1	POU2F1	ENSG00000143190
M00931	SP1_Q6_01	Sp1	SP1;SP3;SP4	ENSG00000185591;ENSG00000172845;ENSG00000105866
M00932	SP1_Q4_01	Sp1	SP1;SP2;SP3;SP4	ENSG00000185591;ENSG00000167182;ENSG00000172845;ENSG00000105866
M00933	SP1_Q2_01	Sp1	SP1;SP2;SP3;SP4	ENSG00000185591;ENSG00000167182;ENSG00000172845;ENSG00000105866
M00935	NFAT_Q4_01	NFAT	NFATC1;NFATC2;NFATC3;NFATC4	ENSG00000131196;ENSG00000101096;ENSG00000072736;ENSG00000100968
M00938	E2F1_Q3_01	E2F-1	E2F1	ENSG00000101412
M00939	E2F_Q4_02	E2F	E2F1;E2F2;E2F3;E2F4;TFDP1	ENSG00000101412;ENSG00000007968;ENSG00000112242;ENSG00000205250;ENSG00000198176
M00940	E2F1_Q6_01	E2F-1	E2F1;E2F3	ENSG00000101412;ENSG00000112242
M00941	MEF2_Q6_01	MEF-2	MEF2A;MEF2C;MEF2D	ENSG00000068305;ENSG00000081189;ENSG00000116604
M00947	CP2_02	CP2/LBP-1c/LSF	TFCP2	ENSG00000135457
M00953	AR_02	AR	AR	ENSG00000169083
M00954	PR_01	PR	PGR	ENSG00000082175
M00955	GR_01	GR	NR3C1	ENSG00000113580
M00956	AR_03	AR	AR	ENSG00000169083
M00957	PR_02	PR	PGR	ENSG00000082175
M00959	ER_Q6_02	ER	ESR1;ESR2	ENSG00000091831;ENSG00000140009
M00960	PR_Q2	PR, GR	NR3C1;PGR;RB1	ENSG00000113580;ENSG00000082175;ENSG00000139687
M00961	VDR_Q6	VDR	VDR	ENSG00000111424
M00962	AR_Q6	AR	AR	ENSG00000169083
M00963	T3R_Q6	T3R	RARA;RARB;RARG;RXRA;RXRB;RXRG;THRA;THRB	ENSG00000131759;ENSG00000077092;ENSG00000172819;ENSG00000186350;ENSG00000204231;ENSG00000143171;ENSG00000126351;ENSG00000151090
M00964	PXR_Q2	PXR, CAR, LXR, FXR	NR1H2;NR1H3;NR1H4;NR1I2;NR1I3;RXRA	ENSG00000131408;ENSG00000025434;ENSG00000012504;ENSG00000144852;ENSG00000143257;ENSG00000186350
M00965	DR4_Q2	LXR, PXR, CAR, COUP, RAR	NR1H2;NR1H3;NR1I2;NR1I3;NR2F1;NR2F2;RARA;RARB;RARG;RXRA;RXRB;RXRG	ENSG00000131408;ENSG00000025434;ENSG00000144852;ENSG00000143257;ENSG00000175745;ENSG00000185551;ENSG00000131759;ENSG00000077092;ENSG00000172819;ENSG00000186350;ENSG00000204231;ENSG00000143171
M00966	DR3_Q4	VDR, CAR, PXR	NR1I2;NR1I3;RXRA;RXRB;VDR	ENSG00000144852;ENSG00000143257;ENSG00000186350;ENSG00000204231;ENSG00000111424
M00967	HNF4_Q6	HNF-4, COUP	HNF4A;HNF4G;NR2F1;NR2F2	ENSG00000101076;ENSG00000164749;ENSG00000175745;ENSG00000185551
M00971	ETS_Q6	Ets	ATM;ELF1;ELF2;ELF4;ELK1;ELK3;ELK4;ERG;ETS1;ETS2;ETV4;ETV7;FLI1;FOS;GABPA;GABPB1;GABPB2;HNF4A;SPI1;SPIB	ENSG00000149311;ENSG00000120690;ENSG00000109381;ENSG00000102034;ENSG00000126767;ENSG00000111145;ENSG00000158711;ENSG00000157554;ENSG00000134954;ENSG00000157557;ENSG00000175832;ENSG00000010030;ENSG00000151702;ENSG00000170345;ENSG00000154727;ENSG00000104064;ENSG00000143458;ENSG00000101076;ENSG00000066336;ENSG00000269404
M00972	IRF_Q6_01	IRF	IRF1;IRF2;IRF3;IRF4;IRF5;IRF7;IRF8;IRF9	ENSG00000125347;ENSG00000168310;ENSG00000126456;ENSG00000137265;ENSG00000128604;ENSG00000185507;ENSG00000140968;ENSG00000213928
M00973	E2A_Q6	E2A	ASCL1;ASCL2;MYF5;MYF6;MYOD1;MYOG;TCF12;TCF3;TCF4	ENSG00000139352;ENSG00000183734;ENSG00000111049;ENSG00000111046;ENSG00000129152;ENSG00000122180;ENSG00000140262;ENSG00000071564;ENSG00000196628
M00974	SMAD_Q6_01	SMAD	SMAD1;SMAD2;SMAD3;SMAD4;SMAD5;SMAD6;SMAD7;SMAD9	ENSG00000170365;ENSG00000175387;ENSG00000166949;ENSG00000141646;ENSG00000113658;ENSG00000137834;ENSG00000101665;ENSG00000120693
M00975	RFX_Q6	RFX	RFX1;RFX2;RFX3;RFX4;RFX5;RFXANK;RFXAP	ENSG00000132005;ENSG00000087903;ENSG00000080298;ENSG00000111783;ENSG00000143390;ENSG00000064490;ENSG00000133111
M00976	AHRHIF_Q6	AhR, Arnt, HIF-1	AHR;AHRR;ARNT;ARNT2;ARNTL;HIF1A	ENSG00000106546;ENSG00000063438;ENSG00000143437;ENSG00000172379;ENSG00000133794;ENSG00000100644
M00977	EBF_Q6	EBF	EBF1;EBF2;EBF3	ENSG00000164330;ENSG00000221818;ENSG00000108001
M00978	LEF1TCF1_Q4	LEF-1, TCF1	HNF1A;LEF1	ENSG00000135100;ENSG00000138795
M00979	PAX6_Q2	Pax-6	PAX6	ENSG00000007372
M00980	TBP_Q6	TBP	TBP	ENSG00000112592
M00981	CREBATF_Q6	CREB, ATF	ATF1;ATF2;ATF3;ATF4;ATF5;ATF6;ATF7;CREB1;CREM;GDNF	ENSG00000123268;ENSG00000115966;ENSG00000162772;ENSG00000128272;ENSG00000169136;ENSG00000118217;ENSG00000170653;ENSG00000118260;ENSG00000095794;ENSG00000168621
M00982	KROX_Q6	KROX	EGR1;EGR2;EGR3;EGR4	ENSG00000120738;ENSG00000122877;ENSG00000179388;ENSG00000135625
M00983	MAF_Q6_01	MAF	BACH1;BACH2;MAF;MAFB;MAFF;MAFG;MAFK;NFE2;NFE2L1;NFE2L2;NFE2L3	ENSG00000156273;ENSG00000112182;ENSG00000178573;ENSG00000204103;ENSG00000185022;ENSG00000197063;ENSG00000198517;ENSG00000123405;ENSG00000082641;ENSG00000116044;ENSG00000050344
M00984	PEBP_Q6	PEBP	CBFB;RUNX1;RUNX2;RUNX3	ENSG00000067955;ENSG00000159216;ENSG00000124813;ENSG00000020633
M00985	STRA13_01	Stra13	BHLHE40	ENSG00000134107
M00986	CHCH_01	Churchill	CHURC1	ENSG00000258289
M00987	FOXP1_01	FOXP1	FOXP1	ENSG00000114861
M00991	CDX_Q5	Cdx	CDX1;CDX2	ENSG00000113722;ENSG00000165556
M00992	FOXP3_Q4	FOXP3	FOXP3	ENSG00000049768
M00993	TAL1_Q6	Tal-1	TAL1	ENSG00000162367
M00997	DEC_Q1	DEC	BHLHE40;BHLHE41	ENSG00000134107;ENSG00000123095
M00998	PBX_Q3	Pbx	HOXB1;HOXB7;HOXB8;HOXC6;PBX1;PBX2;PBX3;PDX1;PKNOX1	ENSG00000120094;ENSG00000260027;ENSG00000120068;ENSG00000197757;ENSG00000185630;ENSG00000204304;ENSG00000167081;ENSG00000139515;ENSG00000160199
M00999	AIRE_01	AIRE	AIRE	ENSG00000160224
M01000	AIRE_02	AIRE	AIRE	ENSG00000160224
M01001	DEAF1_01	DEAF1	DEAF1	ENSG00000177030
M01002	DEAF1_02	DEAF1	DEAF1	ENSG00000177030
M01003	HELIOSA_01	Helios A	IKZF2	ENSG00000030419
M01004	HELIOSA_02	Helios A	IKZF2	ENSG00000030419
M01007	SRF_Q5_02	SRF	SRF	ENSG00000112658
M01009	HES1_Q2	HES-1	HES1	ENSG00000114315
M01010	HMGIY_Q3	HMGIY	HMGA1;HMGA2	ENSG00000137309;ENSG00000149948
M01011	HNF1_Q6_01	HNF-1	HNF1A;HNF1B	ENSG00000135100;ENSG00000275410
M01012	HNF3_Q6_01	HNF3	FOXA1;FOXA2;FOXA3;FOXM1	ENSG00000129514;ENSG00000125798;ENSG00000170608;ENSG00000111206
M01013	IPF1_Q4_01	ipf1	PDX1	ENSG00000139515
M01014	SOX_Q6	SOX	SOX10;SOX11;SOX12;SOX13;SOX14;SOX15;SOX18;SOX2;SOX21;SOX3;SOX4;SOX5;SOX6;SOX8;SOX9;SRY	ENSG00000100146;ENSG00000176887;ENSG00000177732;ENSG00000143842;ENSG00000168875;ENSG00000129194;ENSG00000203883;ENSG00000181449;ENSG00000125285;ENSG00000134595;ENSG00000124766;ENSG00000134532;ENSG00000110693;ENSG00000005513;ENSG00000125398;ENSG00000184895
M01016	SOX17_01	Sox-17	SOX17	ENSG00000164736
M01017	PBX1_03	Pbx-1	PBX1	ENSG00000185630
M01019	TBX5_01	Tbx5	TBX5	ENSG00000089225
M01020	TBX5_02	Tbx5	TBX5	ENSG00000089225
M01022	LEF1_Q2_01	LEF-1	LEF1	ENSG00000138795
M01023	HSF1_Q6	HSF1	HSF1	ENSG00000185122
M01028	NRSF_Q4	NRSF	REST	ENSG00000084093
M01029	TFE_Q6	TFE	MITF;TFE3;TFEB;TFEC	ENSG00000187098;ENSG00000068323;ENSG00000112561;ENSG00000105967
M01031	HNF4_Q6_01	HNF-4	HNF4A	ENSG00000101076
M01032	HNF4_Q6_02	HNF-4	HNF4A	ENSG00000101076
M01033	HNF4_Q6_03	HNF-4	HNF4A	ENSG00000101076
M01034	EBOX_Q6_01	Ebox	ASCL1;ASCL2;BHLHE40;BHLHE41;HAND1;HAND2;MAX;MITF;MXD1;MXD3;MXD4;MXI1;MYC;MYCN;MYF5;MYF6;MYOD1;MYOG;NHLH1;TAL1;TAL2;TCF12;TCF3;TCF4;TFE3;TFEB;USF1;USF2	ENSG00000139352;ENSG00000183734;ENSG00000134107;ENSG00000123095;ENSG00000113196;ENSG00000164107;ENSG00000125952;ENSG00000187098;ENSG00000059728;ENSG00000213347;ENSG00000123933;ENSG00000119950;ENSG00000136997;ENSG00000134323;ENSG00000111049;ENSG00000111046;ENSG00000129152;ENSG00000122180;ENSG00000171786;ENSG00000162367;ENSG00000186051;ENSG00000140262;ENSG00000071564;ENSG00000196628;ENSG00000068323;ENSG00000112561;ENSG00000158773;ENSG00000105698
M01035	YY1_Q6_02	YY1	YY1	ENSG00000100811
M01036	COUPTF_Q6	COUPTF	NR2F1;NR2F2	ENSG00000175745;ENSG00000185551
M01037	GLI_Q2	GLI	GLI1;GLI2;GLI3;GLIS1	ENSG00000111087;ENSG00000074047;ENSG00000106571;ENSG00000174332
M01042	GLI1_Q2	GLI1	GLI1	ENSG00000111087
M01043	NKX25_Q5	CSX	NKX2-5	ENSG00000183072
M01044	TBX5_Q5	Tbx5	TBX5	ENSG00000089225
M01045	AP2ALPHA_02	AP-2alphaA	TFAP2A	ENSG00000137203
M01047	AP2ALPHA_03	AP-2alphaA	TFAP2A	ENSG00000137203
M01058	GFI1B_01	Gfi1b	GFI1B	ENSG00000165702
M01066	BLIMP1_Q6	Blimp-1	PRDM1	ENSG00000057657
M01067	GFI1_Q6	Gfi1	GFI1;GFI1B	ENSG00000162676;ENSG00000165702
M01069	GZF1_01	GZF1	GZF1	ENSG00000125812
M01070	CMAF_01	c-Maf	MAF	ENSG00000178573
M01072	HIC1_02	HIC1	HIC1	ENSG00000177374
M01073	HIC1_03	HIC1	HIC1	ENSG00000177374
M01075	PLZF_02	PLZF	ZBTB16	ENSG00000109906
M01078	CETS1P54_03	c-Ets-1 p54	ETS1	ENSG00000134954
M01079	CBF_01	CBF (core binding factor)	CBFB;CEBPZ;RUNX2	ENSG00000067955;ENSG00000115816;ENSG00000124813
M01080	CBF_02	CBF (core binding factor)	CBFB;CEBPZ;RUNX2	ENSG00000067955;ENSG00000115816;ENSG00000124813
M01081	ZEC_01	Zec	ZNF628	ENSG00000197483
M01082	BRCA_01	BRCA1:USF2	BRCA1;USF2	ENSG00000012048;ENSG00000105698
M01100	LRF_Q2	LRF	ZBTB7A	ENSG00000178951
M01104	MOVOB_01	MOVO-B	OVOL2	ENSG00000125850
M01105	ZBRK1_01	ZBRK1	ZNF350	ENSG00000256683
M01107	RUSH1A_02	RUSH-1alpha	HLTF	ENSG00000071794
M01108	HOXA7_01	HOXA7	HOXA7	ENSG00000122592
M01109	SZF11_01	SZF1-1	ZNF589	ENSG00000164048
M01111	RBPJK_Q4	RBP-Jkappa	RBPJ	ENSG00000168214
M01112	RBPJK_01	RBP-Jkappa	RBPJ	ENSG00000168214
